profile_age_days,applications_7d,applications_30d,avg_applications_30d,app_to_avg_ratio,skills_count,endorsements_count,experience_years,skills_to_exp_ratio,institution_risk_score,company_risk_score,gpa_anomaly_score,tenure_gap_months,avg_tenure_months,time_since_last_app_hrs,is_new_device,ip_risk_score,email_risk_score,login_velocity_24h,failed_logins_24h,copy_paste_ratio,feature_noise_1,feature_noise_2,feature_noise_3,feature_noise_4
1517,0,16,22.5989,0.0236,16,13,4.8,2.906,0.3066,0.3515,0.0286,4.3,32.2,68.32,0,0.168,0.1455,1,1,0.1025,0.9215,1.1027,34.0,0.6033
2790,5,20,1.2851,0.5056,16,4,5.3,2.687,0.1234,0.2869,0.3904,2.8,29.9,76.69,0,0.2256,0.0907,1,0,0.0514,-0.8592,0.6783,50.0,0.9824
1656,2,21,3.5649,0.1945,22,48,7.9,2.483,0.2297,0.1156,0.3025,6.1,55.5,133.32,0,0.1134,0.1894,0,0,0.1672,0.543,-0.6551,87.0,0.6213
1192,0,0,2.5671,0.0,9,1,2.2,3.074,0.1296,0.1307,0.2345,5.4,18.9,2.15,0,0.0881,0.4763,0,1,0.1827,-0.2288,-1.1821,48.0,0.8065
3193,1,1,2.8139,0.0117,43,3,17.2,2.408,0.2021,0.6111,0.2768,5.3,10.6,10.4,0,0.3565,0.013,2,0,0.2812,2.1356,-0.8878,52.0,0.6437
619,0,12,2.6014,0.1518,19,27,5.9,2.743,0.3319,0.4445,0.2053,7.8,26.9,150.87,0,0.4757,0.2745,3,0,0.3227,-0.3887,-1.0212,33.0,0.8845
2699,2,16,4.7964,0.1104,5,48,1.1,2.814,0.1648,0.2954,0.1636,2.7,27.0,18.67,1,0.1991,0.6449,1,0,0.1039,-0.4817,-0.0417,3.0,0.4036
1691,0,10,1.7226,0.1898,6,26,2.8,1.608,0.305,0.4518,0.441,1.7,30.0,21.84,1,0.249,0.2178,0,0,0.6001,2.0387,0.4681,85.0,0.4232
3619,0,15,2.6595,0.1857,11,50,5.6,1.733,0.3792,0.3623,0.0789,1.1,16.4,18.74,0,0.094,0.0461,2,0,0.1392,1.6142,0.1442,42.0,0.5122
902,2,10,3.1654,0.1042,51,14,21.2,2.304,0.2074,0.3016,0.1271,4.1,37.9,116.78,0,0.3186,0.1386,5,0,0.2802,-0.4204,-0.0977,37.0,0.5146
1490,7,25,19.9548,0.0417,6,51,1.6,2.628,0.0596,0.157,0.4186,0.2,58.1,30.88,1,0.0981,0.0573,2,1,0.2713,0.6115,0.4404,35.0,0.968
1596,0,15,8.5264,0.0584,19,26,5.6,2.999,0.2352,0.3214,0.387,0.3,50.2,7.16,0,0.4578,0.3044,1,1,0.4327,-0.1907,-0.2672,42.0,0.3951
3393,5,6,1.1595,0.1677,24,36,13.5,1.676,0.1652,0.1869,0.1095,0.5,12.7,40.02,0,0.1699,0.268,2,0,0.2171,-0.4136,1.6529,46.0,0.7101
